itemID,Product,Variety/Size,Brand,price,Production(kg CO2e),Packaging(kg CO2e),Logistics(kg CO2e),Total(kg CO2e),refurbished_available
0,Gas Stove/Cooktop,2 Burner,Prestige,2874,30.0,3.0,3.0,36.0,0
1,Television,65 inch,Sony,65187,264.0,26.4,48.0,338.4,0
2,Air Conditioner,1.5 Ton,Hitachi,46466,287.5,28.75,28.75,345.0,1
3,Television,50 inch,OnePlus,50657,153.0,15.3,30.6,198.9,1
4,Mixer Grinder,500 W,Morphy Richards,3845,55.0,5.5,5.5,66.0,0
5,Fans,48 inch,Orient,2951,21.8,2.18,2.18,26.16,1
6,Cooler,30 L,Havells,10757,40.0,4.0,10.0,54.0,1
7,Washing Machine,9 kg,Samsung,34324,171.0,17.1,17.1,205.2,0
8,Refrigerator,500 L,Whirlpool,60838,240.0,24.0,38.4,302.4,1
9,Television,43 inch,Samsung,26461,114.0,11.4,23.75,149.15,1
10,Air Conditioner,1.5 Ton,Daikin,32014,237.5,23.75,23.75,285.0,1
11,Refrigerator,300 L,Godrej,25175,198.0,19.8,24.75,242.55,1
12,Air Conditioner,1.5 Ton,Blue Star,31462,252.5,25.25,25.25,303.0,0
13,Refrigerator,300 L,LG,32753,196.0,19.6,24.5,240.1,0
14,Geyser/Water Heater,10 L,Bajaj,5324,50.5,5.05,5.05,60.6,0
15,Television,50 inch,TCL,55310,147.0,14.7,29.4,191.1,0
16,Water Purifier,RO+UV,Blue Star,10848,60.6,6.06,4.04,70.7,1
17,Refrigerator,300 L,Whirlpool,28543,192.0,19.2,24.0,235.2,1
18,Geyser/Water Heater,6 L,Havells,3042,40.0,4.0,4.0,48.0,0
19,Cooler,30 L,Symphony,9889,44.0,4.4,11.0,59.4,0
20,Cooler,20 L,Symphony,5549,33.0,3.3,8.8,45.1,1
21,Mixer Grinder,1000 W,Morphy Richards,4032,99.0,9.9,11.0,119.9,1
22,Cooler,50 L,Symphony,11344,55.0,5.5,11.0,71.5,0
23,Gas Stove/Cooktop,2 Burner,Prestige,2004,30.0,3.0,3.0,36.0,1
24,Mixer Grinder,500 W,Philips,2510,52.5,5.25,5.25,63.0,0
25,Television,50 inch,OnePlus,45218,153.0,15.3,30.6,198.9,0
26,Mixer Grinder,1000 W,Panasonic,5802,90.0,9.0,10.0,109.0,1
27,Television,43 inch,Vu,26137,132.0,13.2,27.5,172.7,1
28,Mixer Grinder,500 W,Panasonic,2038,50.0,5.0,5.0,60.0,0
29,Refrigerator,240 L,LG,20406,176.4,17.64,19.6,213.64,1
30,Washing Machine,9 kg,Samsung,33340,171.0,17.1,17.1,205.2,0
31,Cooler,50 L,Kenstar,10210,49.5,4.95,9.9,64.35,1
32,Cooler,50 L,Kenstar,12947,49.5,4.95,9.9,64.35,0
33,Mixer Grinder,750 W,Preethi,5772,80.5,8.05,8.05,96.6,1
34,Washing Machine,9 kg,LG,30855,176.4,17.64,17.64,211.68,1
35,Television,65 inch,Vu,82801,242.0,24.2,44.0,310.2,1
36,Air Conditioner,1 Ton,Hitachi,37441,230.0,23.0,28.75,281.75,0
37,Television,50 inch,OnePlus,38134,153.0,15.3,30.6,198.9,0
38,Television,50 inch,LG,45375,147.0,14.7,29.4,191.1,0
39,Mixer Grinder,750 W,Philips,4532,73.5,7.35,7.35,88.2,1
40,Refrigerator,300 L,Panasonic,25273,200.0,20.0,25.0,245.0,0
41,Washing Machine,7 kg,Samsung,23516,114.0,11.4,11.4,136.8,0
42,Television,65 inch,LG,76140,215.6,21.56,39.2,276.36,0
43,Television,75 inch,Samsung,106840,237.5,23.75,47.5,308.75,1
44,Television,43 inch,Xiaomi,30192,123.6,12.36,25.75,161.71,0
45,Cooler,50 L,Voltas,12553,50.0,5.0,10.0,65.0,1
46,Television,55 inch,Vu,57385,198.0,19.8,38.5,256.3,0
47,Air Conditioner,1.5 Ton,Blue Star,49223,252.5,25.25,25.25,303.0,0
48,Geyser/Water Heater,15 L,Havells,6376,60.0,6.0,6.0,72.0,1
49,Refrigerator,300 L,Panasonic,28874,200.0,20.0,25.0,245.0,0
50,Television,43 inch,OnePlus,29744,122.4,12.24,25.5,160.14,1
51,Water Purifier,RO+UV+UF,HUL,13222,80.0,8.0,4.0,92.0,0
52,Mixer Grinder,500 W,Morphy Richards,3623,55.0,5.5,5.5,66.0,1
53,Cooler,20 L,Crompton,8870,30.0,3.0,8.0,41.0,1
54,Television,50 inch,Sony,54733,180.0,18.0,36.0,234.0,1
55,Fans,48 inch,Havells,2111,20.0,2.0,2.0,24.0,1
56,Refrigerator,500 L,Samsung,45436,237.5,23.75,38.0,299.25,1
57,Geyser/Water Heater,6 L,V-Guard,2186,44.0,4.4,4.4,52.8,0
58,Mixer Grinder,750 W,Preethi,3863,80.5,8.05,8.05,96.6,1
59,Washing Machine,8 kg,Godrej,36553,148.5,14.85,14.85,178.2,0
60,Refrigerator,340 L,LG,36613,215.6,21.56,29.4,266.56,1
61,Water Purifier,RO+UV,Blue Star,11428,60.6,6.06,4.04,70.7,1
62,Gas Stove/Cooktop,2 Burner,Butterfly,3361,28.5,2.85,2.85,34.2,0
63,Mixer Grinder,500 W,Bajaj,2182,50.5,5.05,5.05,60.6,0
64,Refrigerator,500 L,Godrej,57169,247.5,24.75,39.6,311.85,1
65,Fans,48 inch,Crompton,1505,20.0,2.0,2.0,24.0,1
66,Geyser/Water Heater,10 L,Bajaj,3298,50.5,5.05,5.05,60.6,1
67,Washing Machine,7 kg,LG,27149,117.6,11.76,11.76,141.12,0
68,Water Purifier,RO+UV,Livpure,9594,63.0,6.3,4.2,73.5,0
69,Fans,52 inch,Atomberg,3081,26.25,2.62,3.15,32.02,1
70,Washing Machine,9 kg,Bosch,39801,172.8,17.28,17.28,207.36,1
71,Cooler,20 L,Voltas,9319,30.0,3.0,8.0,41.0,0
72,Refrigerator,500 L,Panasonic,61420,250.0,25.0,40.0,315.0,0
73,Television,75 inch,Sony,117316,300.0,30.0,60.0,390.0,1
74,Television,43 inch,Vu,35998,132.0,13.2,27.5,172.7,1
75,Water Purifier,RO+UV,Blue Star,14790,60.6,6.06,4.04,70.7,0
76,Cooler,50 L,Crompton,12108,50.0,5.0,10.0,65.0,1
77,Gas Stove/Cooktop,3 Burner,Bajaj,4835,40.4,4.04,4.04,48.48,0
78,Air Conditioner,2 Ton,LG,69246,294.0,29.4,31.36,354.76,0
79,Refrigerator,500 L,Samsung,43541,237.5,23.75,38.0,299.25,1
80,Gas Stove/Cooktop,3 Burner,Prestige,3260,40.0,4.0,4.0,48.0,0
81,Mixer Grinder,750 W,Preethi,4511,80.5,8.05,8.05,96.6,1
82,Television,50 inch,Sony,42909,180.0,18.0,36.0,234.0,0
83,Refrigerator,300 L,Panasonic,29550,200.0,20.0,25.0,245.0,0
84,Air Conditioner,2 Ton,LG,41425,294.0,29.4,31.36,354.76,0
85,Mixer Grinder,750 W,Morphy Richards,3657,77.0,7.7,7.7,92.4,0
86,Washing Machine,8 kg,Godrej,33695,148.5,14.85,14.85,178.2,0
87,Refrigerator,300 L,Panasonic,34306,200.0,20.0,25.0,245.0,0
88,Cooler,20 L,Crompton,7296,30.0,3.0,8.0,41.0,0
89,Water Purifier,RO+UV+UF,Blue Star,15913,80.8,8.08,4.04,92.92,0
90,Television,32 inch,Sony,21119,120.0,12.0,24.0,156.0,0
91,Television,75 inch,OnePlus,89780,255.0,25.5,51.0,331.5,1
92,Refrigerator,190 L,Samsung,23475,142.5,14.25,14.25,171.0,0
93,Washing Machine,6 kg,LG,23777,98.0,9.8,9.8,117.6,0
94,Geyser/Water Heater,15 L,Crompton,5619,60.0,6.0,6.0,72.0,0
95,Mixer Grinder,750 W,Havells,5235,70.0,7.0,7.0,84.0,0
96,Cooler,30 L,Kenstar,8663,39.6,3.96,9.9,53.46,1
97,Television,55 inch,Samsung,49113,171.0,17.1,33.25,221.35,0
98,Air Conditioner,2 Ton,Blue Star,65796,303.0,30.3,32.32,365.62,1
99,Television,65 inch,Sony,68938,264.0,26.4,48.0,338.4,0
100,Washing Machine,7 kg,Whirlpool,29050,115.2,11.52,11.52,138.24,1
101,Television,65 inch,Samsung,64474,209.0,20.9,38.0,267.9,0
102,Washing Machine,7 kg,Godrej,21206,118.8,11.88,11.88,142.56,1
103,Geyser/Water Heater,6 L,Havells,2737,40.0,4.0,4.0,48.0,1
104,Water Purifier,RO+UV+UF,HUL,18009,80.0,8.0,4.0,92.0,0
105,Air Conditioner,1.5 Ton,Voltas,47166,250.0,25.0,25.0,300.0,0
106,Television,43 inch,Vu,38538,132.0,13.2,27.5,172.7,1
107,Mixer Grinder,750 W,Philips,3337,73.5,7.35,7.35,88.2,0
108,Water Purifier,RO+UV+UF,Pureit,19224,78.4,7.84,3.92,90.16,1
