event_id,user_id,timestamp,action_type,item_id,product_type,eco_score,refurbished,delivery_type,used_green_toggle,session_id
1,475,2024-02-14 02:13:12,view,4875,Air Conditioner,437.13,0,instant,0,session_475_76
2,479,2025-01-04 22:58:49,view,2608,Geyser,123.48,1,instant,0,session_479_86
3,323,2025-01-08 08:58:45,refurbished_purchase,2202,Refrigerator,177.14,1,delayed,1,session_323_34
4,345,2025-01-01 17:59:38,view,4072,Water Purifier,174.51,0,instant,0,session_345_55
5,353,2024-02-14 05:31:29,view,3673,Refrigerator,374.1,0,instant,1,session_353_22
6,425,2024-05-29 18:52:14,view,25,Cooler,137.74,0,delayed,1,session_425_80
7,364,2024-12-11 21:39:23,normal_purchase,4122,Fans,144.14,0,instant,1,session_364_37
8,306,2025-06-08 11:10:27,refurbished_purchase,2202,Television,66.49,1,delayed,1,session_306_4
9,14,2024-02-11 09:50:53,normal_purchase,4001,Geyser,158.47,0,instant,1,session_14_41
10,52,2024-02-21 17:16:50,green_toggle,2939,Air Conditioner,289.87,0,delayed,1,session_52_33
11,257,2024-01-30 12:15:22,view,3030,Washing Machine,278.99,0,instant,0,session_257_32
12,181,2025-04-27 23:58:58,view,4204,Gas Stove,159.77,0,instant,0,session_181_55
13,204,2025-05-21 04:34:33,view,3672,Water Purifier,143.35,1,instant,0,session_204_27
14,20,2025-06-08 07:49:13,green_toggle,3117,Washing Machine,206.34,0,delayed,1,session_20_92
15,155,2024-11-26 12:20:45,green_toggle,287,Air Conditioner,349.86,0,instant,1,session_155_12
16,174,2024-11-04 22:13:10,refurbished_purchase,4028,Gas Stove,37.82,1,instant,1,session_174_57
17,420,2024-11-22 17:36:00,view,3450,Washing Machine,303.05,1,delayed,1,session_420_6
18,434,2024-08-09 19:06:16,view,4405,Gas Stove,159.71,0,delayed,0,session_434_29
19,399,2024-02-04 03:29:14,view,3472,Geyser,147.91,0,instant,0,session_399_24
20,112,2024-11-22 22:11:33,view,2230,Mixer Grinder,99.97,0,delayed,0,session_112_18
21,58,2024-02-27 19:53:42,green_toggle,2362,Geyser,130.39,1,instant,1,session_58_35
22,21,2024-12-10 10:13:57,view,869,Cooler,176.28,0,instant,0,session_21_29
23,189,2024-03-23 22:09:31,green_toggle,3333,Washing Machine,270.51,0,instant,1,session_189_17
24,485,2024-08-24 19:34:44,green_toggle,1510,Refrigerator,254.53,0,delayed,1,session_485_100
25,112,2024-11-24 02:11:25,green_toggle,2439,Air Conditioner,232.36,0,instant,1,session_112_6
26,326,2024-07-03 22:38:53,normal_purchase,1442,Washing Machine,328.52,0,delayed,0,session_326_41
27,26,2024-07-22 10:10:16,delayed_delivery,1202,Water Purifier,96.6,1,delayed,1,session_26_7
28,9,2024-09-07 05:49:10,view,1030,Air Conditioner,379.48,0,instant,1,session_9_22
29,13,2024-08-14 08:47:17,green_toggle,1977,Water Purifier,118.09,0,instant,1,session_13_3
30,387,2024-07-14 10:49:40,green_toggle,1971,Refrigerator,269.61,0,instant,1,session_387_78
31,323,2024-12-21 03:08:32,green_toggle,702,Air Conditioner,280.56,0,instant,1,session_323_47
32,152,2025-02-02 23:33:00,view,988,Air Conditioner,387.48,0,instant,0,session_152_46
33,446,2025-01-07 20:43:18,view,563,Air Conditioner,406.96,0,instant,0,session_446_22
34,25,2025-03-28 12:44:43,green_toggle,1544,Fans,113.85,0,instant,1,session_25_80
35,111,2024-04-06 16:24:36,delayed_delivery,2337,Mixer Grinder,79.25,1,delayed,1,session_111_20
36,251,2025-02-21 01:07:52,view,4962,Cooler,161.71,0,delayed,0,session_251_4
37,324,2024-05-18 04:19:45,green_toggle,1845,Cooler,93.59,0,instant,1,session_324_33
38,421,2025-03-13 17:39:12,view,3231,Refrigerator,394.73,0,instant,0,session_421_67
39,100,2024-06-01 14:39:00,view,3588,Fans,135.31,0,instant,0,session_100_11
40,356,2024-03-04 11:56:45,view,2198,Mixer Grinder,117.97,0,instant,0,session_356_43
41,276,2024-08-26 14:38:40,view,4529,Water Purifier,120.54,0,instant,0,session_276_99
42,308,2024-02-08 01:13:42,refurbished_purchase,4974,Mixer Grinder,15.23,1,delayed,1,session_308_6
43,350,2025-03-30 23:30:10,view,3169,Geyser,194.17,1,instant,1,session_350_95
44,66,2024-04-15 11:46:37,view,2844,Water Purifier,180.87,0,instant,0,session_66_62
45,82,2024-10-10 02:51:56,green_toggle,1576,Refrigerator,226.86,0,instant,1,session_82_13
46,20,2024-03-11 21:34:31,normal_purchase,398,Gas Stove,133.4,0,delayed,0,session_20_44
47,137,2024-03-04 02:10:36,normal_purchase,4931,Refrigerator,323.92,0,instant,0,session_137_46
48,394,2024-12-25 17:36:28,view,2532,Gas Stove,185.74,0,delayed,1,session_394_1
49,290,2025-01-01 16:07:02,view,4056,Washing Machine,304.6,1,instant,0,session_290_97
50,269,2024-09-09 11:55:24,view,3607,Mixer Grinder,142.86,0,delayed,0,session_269_59
51,376,2024-12-20 05:11:37,view,1972,Washing Machine,282.42,1,delayed,0,session_376_2
52,319,2024-12-05 07:57:11,green_toggle,3189,Mixer Grinder,111.45,0,instant,1,session_319_89
53,302,2025-06-03 03:04:19,refurbished_purchase,1719,Refrigerator,137.29,1,instant,1,session_302_29
54,296,2025-01-31 10:39:07,green_toggle,4011,Geyser,128.42,0,instant,1,session_296_21
55,344,2024-03-10 06:38:49,green_toggle,4680,Gas Stove,84.5,1,delayed,1,session_344_32
56,233,2025-02-16 08:48:03,view,3396,Fans,94.03,0,instant,0,session_233_71
57,461,2025-01-25 21:42:23,normal_purchase,4217,Washing Machine,364.23,0,instant,1,session_461_41
58,128,2024-06-02 08:01:12,view,2697,Water Purifier,120.12,0,delayed,0,session_128_9
59,151,2024-02-29 07:28:34,view,122,Air Conditioner,434.38,0,instant,0,session_151_4
60,44,2024-03-04 21:32:45,view,430,Fans,62.69,0,instant,1,session_44_50
61,86,2025-06-21 16:26:51,view,1315,Refrigerator,347.31,1,delayed,0,session_86_52
62,164,2024-08-05 16:39:40,view,1159,Cooler,135.39,0,instant,0,session_164_83
